	Chemical name	Internal compound ID	Compound Class	PubChem CID	PUBCHEM_isosmiles
109	Oxandrolone	PW2-C11	pharmaceutical drugs	5878	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(COC(=O)C4)C
110	Naloxone hydrochloride	PW2-D2	pharmaceutical drugs	5284596	C=CCN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O
111	Metolazone	PW2-D3	pharmaceutical drugs	4170	CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl
112	Ciprofloxacin hydrochloride monohydrate	PW2-D4	pharmaceutical drugs	2764	C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
114	Haloperidol	PW2-D6	pharmaceutical drugs	3559	C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F
115	Naltrexone hydrochloride dihydrate	PW2-D7	pharmaceutical drugs	5360515	C1CC1CN2CC[C@]34[C@@H]5C(=O)CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O
116	Chlorpheniramine maleate	PW2-D8	pharmaceutical drugs	2725	CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
117	Nalbuphine hydrochloride	PW2-D9	pharmaceutical drugs	5311304	C1CC(C1)CN2CC[C@]34[C@@H]5[C@H](CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O)O
118	Picotamide monohydrate	PW2-D10	pharmaceutical drugs	4814	COC1=C(C=C(C=C1)C(=O)NCC2=CN=CC=C2)C(=O)NCC3=CN=CC=C3
119	Triamcinolone	PW2-D11	pharmaceutical drugs	31307	C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@H]([C@@]2(C(=O)CO)O)O)CCC4=CC(=O)C=C[C@@]43C)F)O
120	Bromocryptine mesylate	PW2-E2	pharmaceutical drugs	31101	CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O
121	Amfepramone hydrochloride	PW2-E3	pharmaceutical drugs	7029	CCN(CC)C(C)C(=O)C1=CC=CC=C1
122	Dehydrocholic acid	PW2-E4	pharmaceutical drugs	6674	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(C(=O)C[C@H]3[C@H]2C(=O)C[C@H]4[C@@]3(CCC(=O)C4)C)C
123	Tioconazole	PW2-E5	pharmaceutical drugs	5482	C1=CC(=C(C=C1Cl)Cl)C(CN2C=CN=C2)OCC3=C(SC=C3)Cl
124	Perphenazine	PW2-E6	pharmaceutical drugs	4748	C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO
125	Mefloquine hydrochloride	PW2-E7	pharmaceutical drugs	4046	C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O
126	Isoconazole	PW2-E8	pharmaceutical drugs	3760	C1=CC(=C(C(=C1)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl
127	Spironolactone	PW2-E9	pharmaceutical drugs	5833	CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C
128	Pirenzepine dihydrochloride	PW2-E10	pharmaceutical drugs	4848	CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4
129	Dexamethasone acetate	PW2-E11	pharmaceutical drugs	236702	C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C)O)C)O)F)C
130	Glipizide	PW2-F2	pharmaceutical drugs	3478	CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
131	Loxapine succinate	PW2-F3	pharmaceutical drugs	3964	CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
132	Hydroxyzine dihydrochloride	PW2-F4	pharmaceutical drugs	3658	C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
133	Diltiazem hydrochloride	PW2-F5	pharmaceutical drugs	39186	CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC
134	Azilsartan medoxomil	PW2-F6	pharmaceutical drugs	135409642	CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NOC(=O)N5)C(=O)OCC6=C(OC(=O)O6)C
135	Astemizole	PW2-F7	pharmaceutical drugs	2247	COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F
136	Clindamycin hydrochloride	PW2-F8	pharmaceutical drugs	6602476	CCC[C@@H]1C[C@H](N(C1)C)C(=O)N[C@@H](C2[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)[C@H](C)Cl
137	Terfenadine	PW2-F9	pharmaceutical drugs	5405	CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O
138	Cefotaxime sodium salt	PW2-F10	pharmaceutical drugs	7240495	CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N/OC)/C3=CSC(=N3)N)SC1)C(=O)[O-]
139	Tetracycline hydrochloride	PW2-F11	pharmaceutical drugs	54675776	C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
140	Verapamil hydrochloride	PW2-G2	pharmaceutical drugs	2520	CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
141	Dipyridamole	PW2-G3	pharmaceutical drugs	3108	C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO
142	Chlorhexidine	PW2-G4	pharmaceutical drugs	2713	C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl
143	Loperamide hydrochloride	PW2-G5	pharmaceutical drugs	3955	CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4
144	Chlortetracycline hydrochloride	PW2-G6	pharmaceutical drugs	54675777	C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O
145	Tamoxifen citrate	PW2-G7	pharmaceutical drugs	2733526	CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3
146	Nicergoline	PW2-G8	pharmaceutical drugs	34040	CN1C[C@@H](C[C@]2([C@H]1CC3=CN(C4=CC=CC2=C34)C)OC)COC(=O)C5=CC(=CN=C5)Br
147	Canrenoic acid potassium salt	PW2-G9	pharmaceutical drugs	24776140	C[C@]12CCC(=O)C=C1C=C[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(CCC(=O)[O-])O)C
148	Thioproperazine dimesylate	PW2-G10	pharmaceutical drugs	9429	CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C
149	Dihydroergotamine tartrate	PW2-G11	pharmaceutical drugs	146047982	C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5C[C@H]6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C.C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5CC6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C
150	Erythromycin	PW2-H2	pharmaceutical drugs	12560	CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O
151	Chloroxine	PW2-H3	pharmaceutical drugs	2722	C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1
152	Didanosine	PW2-H4	pharmaceutical drugs	135398739	C1C[C@@H](O[C@@H]1CO)N2C=NC3=C2N=CNC3=O
153	Josamycin	PW2-H5	pharmaceutical drugs	23817954	C[C@@H]1C/C=C/C=C/[C@@H]([C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)OC(=O)C)OC)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)OC(=O)CC(C)C)N(C)C)O)CC=O)C)O
154	Paclitaxel	PW2-H6	pharmaceutical drugs	36314	CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C
155	Ivermectin	PW2-H7	pharmaceutical drugs	6321424	CC[C@H](C)[C@@H]1[C@H](CC[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C
156	Gallamine triethiodide	PW2-H8	pharmaceutical drugs	3450	CC[N+](CC)(CC)CCOC1=C(C(=CC=C1)OCC[N+](CC)(CC)CC)OCC[N+](CC)(CC)CC
157	Neomycin sulfate	PW2-H9	pharmaceutical drugs	8378	C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N
158	Dihydrostreptomycin sulfate	PW2-H10	pharmaceutical drugs	3069	CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(CO)O
159	Gentamicine sulfate	PW2-H11	pharmaceutical drugs	3467	CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC
160	Isoniazid	PW3-A2	pharmaceutical drugs	3767	C1=CN=CC=C1C(=O)NN
161	Pentylenetetrazole	PW3-A3	pharmaceutical drugs	5917	C1CCC2=NN=NN2CC1
162	Chlorzoxazone	PW3-A4	pharmaceutical drugs	2733	C1=CC2=C(C=C1Cl)NC(=O)O2
163	Ornidazole	PW3-A5	pharmaceutical drugs	28061	CC1=NC=C(N1CC(CCl)O)[N+](=O)[O-]
164	Ethosuximide	PW3-A6	pharmaceutical drugs	3291	CCC1(CC(=O)NC1=O)C
